Date,Open,High,Low,Close,Adj Close,Volume
2016-10-10,136.970001,138.350006,136.970001,138.080002,128.402313,2586000
2016-10-11,137.320007,137.690002,134.369995,134.750000,125.305664,3353600
2016-10-12,134.979996,135.720001,133.639999,135.100006,125.631165,4287900
2016-10-13,134.649994,134.649994,133.610001,134.190002,124.784920,3425700
2016-10-14,134.779999,135.509995,133.889999,133.919998,124.533859,3452900
2016-10-17,134.059998,134.429993,133.029999,134.130005,124.729141,3602500
2016-10-18,139.199997,143.949997,137.869995,143.389999,133.340118,10141900
2016-10-19,143.820007,146.360001,142.820007,144.369995,134.251419,5796000
2016-10-20,144.490005,145.880005,143.979996,145.070007,134.902405,5203700
2016-10-21,144.259995,145.440002,143.759995,145.369995,135.181351,3331800
2016-10-24,146.000000,146.220001,144.020004,144.690002,134.548981,2930200
2016-10-25,144.880005,145.380005,143.600006,143.779999,133.702759,3095400
2016-10-26,143.750000,143.779999,141.889999,142.229996,132.261475,3267600
2016-10-27,142.720001,143.250000,141.580002,141.940002,131.991776,3358000
2016-10-28,141.660004,142.350006,139.440002,140.350006,130.513214,4033600
2016-10-31,140.800003,141.539993,139.970001,141.330002,131.424500,3761100
2016-11-01,141.509995,141.509995,138.820007,139.429993,129.657669,3391400
2016-11-02,139.020004,141.229996,138.929993,138.979996,129.239212,3149700
2016-11-03,139.179993,140.339996,137.649994,137.830002,128.169815,2989700
2016-11-04,138.449997,138.889999,137.690002,137.710007,128.058212,3520700
2016-11-07,139.600006,142.440002,139.550003,141.929993,131.982407,3896600
2016-11-08,141.350006,143.610001,141.000000,142.899994,132.884460,4389300
2016-11-09,139.539993,144.190002,136.220001,141.899994,131.954575,8042400
2016-11-10,142.339996,146.570007,142.000000,146.130005,135.888046,6075500
2016-11-11,146.710007,147.500000,146.009995,146.419998,136.157745,4475400
2016-11-14,147.320007,152.919998,147.039993,152.279999,141.607071,5740400
2016-11-15,153.509995,153.960007,151.509995,152.229996,141.560562,4910700
2016-11-16,151.990005,153.000000,151.229996,151.500000,140.881729,3899000
2016-11-17,151.820007,151.919998,150.190002,150.770004,140.202881,4683000
2016-11-18,151.050003,151.660004,149.399994,149.449997,138.975433,5664800
2016-11-21,149.720001,150.660004,148.559998,150.410004,139.868118,3867800
2016-11-22,151.080002,152.929993,150.559998,152.259995,141.588486,4992100
2016-11-23,152.009995,153.740005,150.960007,153.539993,142.778687,2697200
2016-11-25,153.929993,154.500000,152.610001,152.809998,142.099899,1664500
2016-11-28,152.740005,152.850006,150.000000,152.110001,141.448944,5029600
2016-11-29,156.940002,158.119995,155.179993,157.589996,146.544876,5827400
2016-11-30,157.470001,159.759995,157.070007,158.320007,147.809937,7142400
2016-12-01,159.119995,161.720001,159.119995,160.940002,150.255981,5250200
2016-12-02,161.000000,162.520004,160.559998,160.729996,150.059937,3480000
2016-12-05,160.190002,160.669998,156.229996,157.630005,147.165741,5854200
2016-12-06,158.169998,158.229996,156.259995,157.320007,146.876312,3216700
2016-12-07,157.889999,159.979996,156.350006,159.399994,148.818207,4552300
2016-12-08,159.410004,160.240005,158.000000,159.320007,148.743561,3407500
2016-12-09,159.520004,160.160004,157.710007,160.119995,149.490433,4007200
2016-12-12,158.830002,159.660004,157.750000,159.490005,148.902252,3471200
2016-12-13,160.399994,161.710007,160.070007,160.539993,149.882568,3868900
2016-12-14,161.139999,161.800003,158.720001,159.860001,149.247681,3885700
2016-12-15,159.869995,161.289993,159.429993,160.619995,149.957275,4422700
2016-12-16,161.380005,164.000000,161.190002,163.940002,153.056854,7605300
2016-12-19,163.089996,163.940002,161.220001,161.539993,150.816162,4732600
2016-12-20,161.710007,163.110001,161.410004,161.589996,150.862839,3131200
2016-12-21,161.419998,162.289993,159.619995,161.330002,150.620117,2767700
2016-12-22,161.389999,161.880005,160.270004,161.580002,150.853531,2741700
2016-12-23,161.559998,163.039993,160.550003,163.029999,152.207260,2044400
2016-12-27,163.259995,163.960007,162.449997,162.639999,151.843140,1344000
2016-12-28,162.160004,163.250000,161.320007,161.440002,150.722809,1669100
2016-12-29,161.919998,162.360001,160.389999,161.039993,150.349365,2476300
2016-12-30,161.369995,161.479996,159.850006,160.039993,149.415741,2855600
2017-01-03,161.130005,162.270004,159.149994,161.449997,150.732132,3539700
2017-01-04,162.350006,162.580002,159.740005,161.910004,151.161606,2695200
2017-01-05,161.750000,162.630005,161.509995,162.179993,151.413666,2961100
2017-01-06,161.750000,162.940002,161.110001,162.410004,151.628433,3081300
2017-01-09,162.000000,162.429993,160.779999,161.949997,151.198944,3040800
2017-01-10,161.270004,162.979996,160.500000,161.580002,150.853531,3500700
2017-01-11,161.300003,162.940002,160.610001,161.889999,151.142899,3330600
2017-01-12,161.690002,162.940002,160.889999,162.360001,151.581757,2555900
2017-01-13,162.160004,162.740005,161.410004,161.800003,151.058884,3183300
2017-01-17,162.610001,162.970001,157.509995,160.660004,149.994583,5475800
2017-01-18,161.059998,161.199997,156.089996,157.740005,147.268417,6591600
2017-01-19,157.740005,160.550003,157.240005,158.699997,148.164734,4976900
2017-01-20,159.020004,159.800003,157.809998,158.660004,148.127335,3579100
2017-01-23,158.619995,159.520004,156.559998,159.070007,148.510132,4062600
2017-01-24,159.360001,161.309998,159.100006,160.429993,149.779861,3514100
2017-01-25,160.820007,161.979996,160.350006,161.240005,150.536102,3605800
2017-01-26,161.860001,163.580002,161.250000,162.750000,151.945816,4202400
2017-01-27,163.500000,163.800003,162.619995,162.990005,152.169922,3110400
2017-01-30,162.940002,163.460007,161.309998,162.089996,151.329651,2784600
2017-01-31,161.619995,162.190002,160.009995,162.100006,151.338989,3037000
2017-02-01,162.750000,163.899994,162.029999,162.710007,151.908478,3718500
2017-02-02,162.520004,163.250000,160.259995,160.759995,150.087952,4714000
2017-02-03,161.130005,162.000000,160.210007,161.869995,151.124268,2762300
2017-02-06,161.509995,162.529999,160.220001,160.509995,149.854553,3479400
2017-02-07,161.050003,161.679993,159.539993,160.529999,149.873245,2942700
2017-02-08,160.000000,160.630005,159.410004,160.309998,149.667801,2339700
2017-02-09,160.309998,161.300003,159.559998,160.440002,149.789185,3056800
2017-02-10,160.119995,161.589996,160.100006,160.750000,150.078613,1905900
2017-02-13,160.690002,162.020004,160.690002,161.990005,151.236282,3275800
2017-02-14,161.449997,163.500000,161.250000,163.130005,152.300598,2969400
2017-02-15,162.580002,164.889999,162.580002,164.289993,153.383621,4537900
2017-02-16,164.779999,164.970001,162.330002,163.649994,152.786102,3191600
2017-02-17,159.000000,160.160004,156.490005,157.619995,147.156372,12033600
2017-02-21,157.619995,160.820007,157.520004,160.570007,149.910568,5419000
2017-02-22,160.910004,161.779999,159.639999,160.570007,149.910568,2725300
2017-02-23,161.330002,162.600006,160.690002,162.600006,151.805817,2459600
2017-02-24,162.669998,163.089996,161.740005,163.059998,152.235291,2715700
2017-02-27,163.160004,165.460007,162.809998,165.380005,154.401276,4071800
2017-02-28,165.470001,166.759995,164.899994,165.380005,154.401276,4382100
2017-03-01,166.720001,168.600006,166.350006,167.940002,156.791306,3514200
2017-03-02,168.320007,168.429993,166.960007,167.309998,156.203094,1889800
2017-03-03,167.309998,168.449997,166.619995,168.199997,157.034012,2254400
2017-03-06,167.429993,169.350006,167.130005,168.699997,157.500809,2576500
2017-03-07,168.449997,169.360001,167.929993,168.300003,157.127426,2702300
2017-03-08,167.509995,168.460007,166.800003,167.910004,157.347595,2048200
2017-03-09,168.149994,169.070007,167.740005,168.009995,157.441330,3631400
2017-03-10,168.419998,170.000000,168.059998,169.979996,159.287399,3716600
2017-03-13,169.990005,170.929993,169.550003,170.210007,159.502899,3130200
2017-03-14,169.660004,170.179993,168.500000,169.059998,158.425262,2522600
2017-03-15,169.360001,171.970001,169.289993,171.779999,160.974152,2807600
2017-03-16,172.070007,172.139999,170.220001,171.300003,160.524384,3138600
2017-03-17,171.089996,171.539993,169.589996,169.699997,159.025024,5622900
2017-03-20,169.929993,170.240005,167.919998,168.000000,157.431946,3928600
2017-03-21,168.669998,168.820007,167.059998,167.699997,157.150848,4953100
2017-03-22,168.130005,168.380005,165.630005,167.029999,156.523010,2999800
2017-03-23,166.229996,166.929993,164.770004,165.289993,154.892426,3947400
2017-03-24,166.130005,167.399994,164.350006,165.000000,154.620697,5243900
2017-03-27,163.990005,165.110001,163.309998,164.600006,154.245850,4383000
2017-03-28,164.580002,166.070007,163.839996,165.350006,154.948654,7327100
2017-03-29,164.660004,164.970001,162.740005,163.440002,153.158829,5900400
2017-03-30,163.649994,165.929993,163.460007,164.990005,154.611328,2993800
2017-03-31,164.639999,165.100006,163.750000,164.009995,153.692917,3496100
2017-04-03,164.619995,166.139999,164.250000,165.589996,155.173553,3473700
2017-04-04,165.869995,166.449997,164.789993,164.970001,154.592560,2886000
2017-04-05,165.759995,167.259995,165.220001,165.369995,154.967407,3541600
2017-04-06,165.449997,166.020004,164.839996,165.339996,154.939285,2923600
2017-04-07,164.960007,166.500000,164.619995,166.020004,155.576508,2927800
2017-04-10,166.190002,167.000000,165.279999,165.479996,155.070450,3234900
2017-04-11,164.889999,165.839996,164.600006,165.830002,155.398468,3172900
2017-04-12,166.320007,166.419998,164.600006,165.559998,155.145447,2978700
2017-04-13,164.949997,165.649994,164.669998,164.960007,154.583160,1979800
2017-04-17,164.990005,167.419998,164.960007,167.179993,156.663513,4396700
2017-04-18,170.059998,170.229996,167.699997,168.589996,157.984848,5526200
2017-04-19,169.589996,171.190002,168.690002,169.250000,158.603317,4703400
2017-04-20,169.520004,172.190002,168.369995,171.539993,160.749283,3652100
2017-04-21,172.130005,172.619995,170.470001,171.160004,160.393204,2982300
2017-04-24,172.660004,173.160004,171.699997,172.330002,161.489609,2830300
2017-04-25,173.500000,174.740005,173.190002,174.039993,163.091995,3394700
2017-04-26,174.089996,175.649994,173.979996,174.380005,163.410645,2817500
2017-04-27,174.070007,176.070007,174.020004,174.630005,163.644913,2438600
2017-04-28,174.610001,175.000000,173.910004,174.880005,163.879150,2010800
2017-05-01,175.000000,176.139999,174.089996,174.589996,163.607391,2709700
2017-05-02,174.910004,175.369995,170.270004,174.139999,163.185760,4951000
2017-05-03,173.750000,174.300003,171.860001,172.539993,161.686340,3622200
2017-05-04,173.050003,174.210007,172.380005,174.020004,163.073288,2585200
